date,daily_case_count,daily_death_count
2020-03-18,676,73
2020-03-19,643,79
2020-03-20,714,118
2020-03-21,1035,143
2020-03-22,665,184
2020-03-23,967,208
2020-03-24,1427,262
2020-03-25,1452,337
2020-03-26,2129,413
2020-03-27,2890,463
2020-03-28,2556,516
2020-03-29,2502,586
2020-03-30,2665,710
2020-03-31,3250,831
2020-04-01,4567,923
2020-04-02,4522,1007
2020-04-03,4672,1061
2020-04-04,4000,1147
2020-04-05,6199,1219
2020-04-06,4143,1169
2020-04-07,3888,1291
2020-04-08,5865,1461
2020-04-09,4675,1373
2020-04-10,5706,1320
2020-04-11,5234,1363
2020-04-12,5288,1376
2020-04-13,4342,1232
2020-04-14,5252,1253
2020-04-15,4605,1276
2020-04-16,4618,1322
2020-04-17,5599,1271
2020-04-18,5526,1189
2020-04-19,5850,1122
2020-04-20,4676,1158
2020-04-21,4301,1085
2020-04-22,4451,1102
2020-04-23,4583,1038
2020-04-24,5386,1005
2020-04-25,4913,919
2020-04-26,4463,893
2020-04-27,4310,865
2020-04-28,3996,801
2020-04-29,4076,817
2020-04-30,6032,780
2020-05-01,6201,786
2020-05-02,4806,704
2020-05-03,4339,662
2020-05-04,3985,674
2020-05-05,4406,642
2020-05-06,6111,624
2020-05-07,5614,631
2020-05-08,4649,569
2020-05-09,3896,539
2020-05-10,3923,493
2020-05-11,3877,428
2020-05-12,3403,441
2020-05-13,3242,455
2020-05-14,3446,465
2020-05-15,3560,420
2020-05-16,3451,418
2020-05-17,3562,376
2020-05-18,2684,407
2020-05-19,2412,372
2020-05-20,2472,353
2020-05-21,2615,342
2020-05-22,3287,300
2020-05-23,2959,284
2020-05-24,2409,281
2020-05-25,1625,278
2020-05-26,2004,299
2020-05-27,2013,281
2020-05-28,1887,286
2020-05-29,2095,254
2020-05-30,2445,219
2020-05-31,1936,195
2020-06-01,1570,199
2020-06-02,1613,232
2020-06-03,1871,203
2020-06-04,1805,183
2020-06-05,1650,185
2020-06-06,1557,150
2020-06-07,1326,163
2020-06-08,1205,161
2020-06-09,1387,137
2020-06-10,1003,166
2020-06-11,1266,120
2020-06-12,1541,135
2020-06-13,1425,101
2020-06-14,1514,136
2020-06-15,1056,107
2020-06-16,1279,120
2020-06-17,1115,105
2020-06-18,1218,90
2020-06-19,1346,88
2020-06-20,1295,87
2020-06-21,1221,80
2020-06-22,958,83
2020-06-23,874,97
2020-06-24,653,101
2020-06-25,1118,108
2020-06-26,1006,79
2020-06-27,890,73
2020-06-28,901,71
2020-06-29,815,69
2020-06-30,689,81
2020-07-01,829,54
2020-07-02,576,61
2020-07-03,544,48
2020-07-04,624,52
2020-07-05,516,52
2020-07-06,343,54
2020-07-07,581,43
2020-07-08,630,46
2020-07-09,642,60
2020-07-10,512,44
2020-07-11,820,38
2020-07-12,650,32
2020-07-13,530,45
2020-07-14,398,42
2020-07-15,538,41
2020-07-16,642,20
2020-07-17,687,33
2020-07-18,827,31
2020-07-19,726,24
2020-07-20,557,31
2020-07-21,445,31
2020-07-22,560,34
2020-07-23,769,36
2020-07-24,768,19
2020-07-25,767,23
2020-07-26,745,32
2020-07-27,685,18
2020-07-28,581,25
2020-07-29,763,28
2020-07-30,846,17
2020-07-31,880,31
2020-08-01,761,20
2020-08-02,744,17
2020-08-03,898,23
2020-08-04,670,27
2020-08-05,892,13
2020-08-06,950,21
2020-08-07,871,23
2020-08-08,758,22
2020-08-09,1062,19
2020-08-10,740,25
2020-08-11,1148,20
2020-08-12,1009,24
2020-08-13,1129,23
2020-08-14,1441,18
2020-08-15,1077,23
2020-08-16,1040,15
2020-08-17,713,21
2020-08-18,1089,15
2020-08-19,812,13
2020-08-20,1182,16
2020-08-21,1033,10
2020-08-22,1288,12
2020-08-23,1160,17
2020-08-24,853,10
2020-08-25,1184,22
2020-08-26,1048,16
2020-08-27,1522,12
2020-08-28,1276,12
2020-08-29,1108,8
2020-08-30,1715,11
2020-08-31,1406,18
2020-09-01,1295,11
2020-09-02,1508,15
2020-09-03,1735,9
2020-09-04,1940,15
2020-09-05,1813,14
2020-09-06,2988,13
2020-09-07,2948,23
2020-09-08,2460,15
2020-09-09,2659,14
2020-09-10,2919,16
2020-09-11,3539,20
2020-09-12,3497,23
2020-09-13,3330,21
2020-09-14,2621,21
2020-09-15,3105,26
2020-09-16,3991,31
2020-09-17,3395,37
2020-09-18,4322,30
2020-09-19,4422,25
2020-09-20,3899,40
2020-09-21,4368,30
2020-09-22,4926,39
2020-09-23,6178,58
2020-09-24,6634,34
2020-09-25,6874,40
2020-09-26,6042,47
2020-09-27,5693,56
2020-09-28,4044,55
2020-09-29,7143,48
2020-09-30,7108,61
2020-10-01,6914,71
2020-10-02,6968,72
2020-10-03,12872,70
2020-10-04,22961,62
2020-10-05,12594,68
2020-10-06,14542,84
2020-10-07,14162,109
2020-10-08,17540,96
2020-10-09,13864,95
2020-10-10,15166,107
2020-10-11,12872,127
2020-10-12,13972,119
2020-10-13,17234,119
2020-10-14,19724,123
2020-10-15,18980,152
2020-10-16,15650,162
2020-10-17,16171,183
2020-10-18,16982,166
