areaCode,areaName,areaType,date,newCasesByPublishDate,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2021-04-28,2166,
K02000001,United Kingdom,overview,2021-04-27,2685,
K02000001,United Kingdom,overview,2021-04-26,2064,
K02000001,United Kingdom,overview,2021-04-25,1712,
K02000001,United Kingdom,overview,2021-04-24,2061,
K02000001,United Kingdom,overview,2021-04-23,2678,
K02000001,United Kingdom,overview,2021-04-22,2729,
K02000001,United Kingdom,overview,2021-04-21,2396,
K02000001,United Kingdom,overview,2021-04-20,2524,
K02000001,United Kingdom,overview,2021-04-19,2963,
K02000001,United Kingdom,overview,2021-04-18,1882,
K02000001,United Kingdom,overview,2021-04-17,2206,
K02000001,United Kingdom,overview,2021-04-16,2596,19
K02000001,United Kingdom,overview,2021-04-15,2672,31
K02000001,United Kingdom,overview,2021-04-14,2491,31
K02000001,United Kingdom,overview,2021-04-13,2472,41
K02000001,United Kingdom,overview,2021-04-12,3568,32
K02000001,United Kingdom,overview,2021-04-11,1730,37
K02000001,United Kingdom,overview,2021-04-10,2589,37
K02000001,United Kingdom,overview,2021-04-09,3150,34
K02000001,United Kingdom,overview,2021-04-08,3030,54
K02000001,United Kingdom,overview,2021-04-07,2763,42
K02000001,United Kingdom,overview,2021-04-06,2379,44
K02000001,United Kingdom,overview,2021-04-05,2762,42
K02000001,United Kingdom,overview,2021-04-04,2297,47
K02000001,United Kingdom,overview,2021-04-03,3423,38
K02000001,United Kingdom,overview,2021-04-02,3402,49
K02000001,United Kingdom,overview,2021-04-01,4479,59
K02000001,United Kingdom,overview,2021-03-31,4052,73
K02000001,United Kingdom,overview,2021-03-30,4040,54
K02000001,United Kingdom,overview,2021-03-29,4654,67
K02000001,United Kingdom,overview,2021-03-28,3862,47
K02000001,United Kingdom,overview,2021-03-27,4715,62
K02000001,United Kingdom,overview,2021-03-26,6187,72
K02000001,United Kingdom,overview,2021-03-25,6397,74
K02000001,United Kingdom,overview,2021-03-24,5605,68
K02000001,United Kingdom,overview,2021-03-23,5379,89
K02000001,United Kingdom,overview,2021-03-22,5342,100
K02000001,United Kingdom,overview,2021-03-21,5312,123
K02000001,United Kingdom,overview,2021-03-20,5587,97
K02000001,United Kingdom,overview,2021-03-19,4802,97
K02000001,United Kingdom,overview,2021-03-18,6303,96
K02000001,United Kingdom,overview,2021-03-17,5758,121
K02000001,United Kingdom,overview,2021-03-16,5294,111
K02000001,United Kingdom,overview,2021-03-15,5089,134
K02000001,United Kingdom,overview,2021-03-14,4618,130
K02000001,United Kingdom,overview,2021-03-13,5534,130
K02000001,United Kingdom,overview,2021-03-12,6609,131
K02000001,United Kingdom,overview,2021-03-11,6753,161
K02000001,United Kingdom,overview,2021-03-10,5926,153
K02000001,United Kingdom,overview,2021-03-09,5766,184
K02000001,United Kingdom,overview,2021-03-08,4712,190
K02000001,United Kingdom,overview,2021-03-07,5177,194
K02000001,United Kingdom,overview,2021-03-06,6040,204
