index,date,agg_stress,agg_Unemployment,agg_Loneliness,agg_Anxiety
4,2020-03-22,67.16,0.66,0.53,29.07
5,2020-03-23,64.4,20.46,0.53,15.39
6,2020-03-24,66.24,33.66,0.53,0.57
7,2020-03-25,64.4,11.22,0.53,0.57
8,2020-03-26,78.2,33.66,16.43,34.2
9,2020-03-27,73.6,0.66,0.53,7.98
10,2020-03-28,53.36,12.54,37.1,28.5
11,2020-03-29,78.0,25.46,0.43,0.76
12,2020-03-30,100.0,22.11,12.9,10.64
13,2020-03-31,85.0,10.72,0.43,32.68
14,2020-04-01,60.0,44.89,13.33,11.4
15,2020-04-02,63.0,67.0,0.43,33.44
16,2020-04-03,79.0,34.17,0.43,11.4
17,2020-04-04,60.0,0.67,15.48,26.6
18,2020-04-05,45.26,26.8,34.92,18.55
19,2020-04-06,46.72,42.88,28.13,29.68
20,2020-04-07,44.53,66.33,58.2,22.79
21,2020-04-08,46.72,0.67,30.07,15.9
22,2020-04-09,45.26,11.39,61.11,23.85
23,2020-04-10,50.37,46.9,62.08,16.43
24,2020-04-11,51.83,12.73,32.98,9.01
25,2020-04-12,39.42,39.0,71.0,27.88
26,2020-04-13,48.18,18.0,98.0,13.12
27,2020-04-14,52.56,34.0,31.0,12.3
28,2020-04-15,40.15,69.0,63.0,74.62
29,2020-04-16,35.77,35.0,95.0,37.72
30,2020-04-17,42.34,1.0,1.0,12.3
31,2020-04-18,42.34,19.0,1.0,0.82
32,2020-04-19,51.59,0.97,36.18,7.84
33,2020-04-20,63.14,16.49,32.4,35.28
34,2020-04-21,46.97,16.49,16.2,28.42
35,2020-04-22,42.35,33.95,0.54,7.35
36,2020-04-23,39.27,32.98,0.54,28.91
37,2020-04-24,49.28,33.95,0.54,0.49
38,2020-04-25,54.67,36.86,0.54,16.17
39,2020-04-26,44.08,15.39,14.35,68.0
40,2020-04-27,47.88,39.69,36.49,19.72
41,2020-04-28,64.6,38.07,0.41,9.52
42,2020-04-29,48.64,39.69,24.19,29.24
43,2020-04-30,40.28,12.15,11.48,18.36
44,2020-05-01,44.84,13.77,0.41,40.12
45,2020-05-02,40.28,13.77,0.41,30.6
46,2020-05-03,44.88,0.69,3.3,9.44
47,2020-05-04,36.72,0.69,0.1,8.26
48,2020-05-05,50.32,10.35,5.3,15.34
49,2020-05-06,48.28,22.08,5.9,0.59
50,2020-05-07,32.64,33.81,0.1,8.26
51,2020-05-08,34.68,24.15,0.1,36.58
52,2020-05-09,38.08,12.42,3.3,9.44
53,2020-05-10,61.5,32.64,0.53,42.75
54,2020-05-11,36.0,38.4,15.37,15.96
55,2020-05-12,51.75,32.64,16.43,33.63
56,2020-05-13,49.5,0.48,16.43,17.1
57,2020-05-14,45.0,0.48,0.53,8.55
58,2020-05-15,45.75,0.48,17.49,9.12
59,2020-05-16,40.5,0.48,0.53,10.26
60,2020-05-17,51.06,0.59,13.65,0.48
61,2020-05-18,46.62,0.59,22.05,7.2
62,2020-05-19,47.36,10.03,0.35,14.4
63,2020-05-20,49.58,0.59,0.35,7.68
64,2020-05-21,41.44,0.59,0.35,16.8
65,2020-05-22,40.7,11.21,0.35,23.52
66,2020-05-23,36.26,0.59,0.35,0.48
67,2020-05-24,40.15,7.98,0.23,47.45
68,2020-05-25,36.5,0.38,0.23,29.25
69,2020-05-26,47.45,6.84,7.36,29.9
70,2020-05-27,53.29,20.14,0.23,9.75
71,2020-05-28,41.61,6.46,0.23,38.35
72,2020-05-29,34.31,0.38,0.23,10.4
73,2020-05-30,43.8,15.96,0.23,11.7
74,2020-05-31,27.36,0.9,28.5,10.26
75,2020-06-01,36.72,0.9,0.75,27.36
76,2020-06-02,28.08,29.7,22.5,33.06
77,2020-06-03,37.44,42.3,21.0,38.76
78,2020-06-04,43.92,0.9,0.75,7.41
79,2020-06-05,38.16,29.7,0.75,32.49
80,2020-06-06,36.72,35.1,0.75,9.69
81,2020-06-07,43.89,10.8,7.56,0.35
82,2020-06-08,33.88,8.64,0.21,9.45
83,2020-06-09,49.28,0.54,0.21,0.35
84,2020-06-10,50.82,9.18,0.21,5.25
85,2020-06-11,54.67,9.18,0.21,5.25
86,2020-06-12,42.35,37.8,0.21,16.1
87,2020-06-13,36.19,0.54,7.56,12.25
88,2020-06-14,44.55,0.26,0.34,0.93
89,2020-06-15,57.51,4.42,0.34,81.84
90,2020-06-16,51.03,0.26,10.2,53.94
91,2020-06-17,51.84,4.42,0.34,56.73
92,2020-06-18,42.93,0.26,0.34,13.95
93,2020-06-19,48.6,0.26,22.78,29.76
94,2020-06-20,34.83,0.26,0.34,35.34
95,2020-06-21,38.48,0.33,0.83,23.68
96,2020-06-22,36.26,0.33,55.61,10.24
97,2020-06-23,38.48,0.33,28.22,0.64
98,2020-06-24,39.22,0.33,28.22,31.36
99,2020-06-25,50.32,24.42,28.22,10.24
100,2020-06-26,28.86,6.27,0.83,31.36
101,2020-06-27,37.74,0.33,0.83,0.64
102,2020-06-28,46.8,0.38,0.34,10.56
103,2020-06-29,36.72,0.38,0.34,0.66
104,2020-06-30,44.64,6.84,0.34,61.38
105,2020-07-01,40.32,6.84,10.88,0.66
106,2020-07-02,48.96,0.38,0.34,0.66
107,2020-07-03,41.04,14.06,11.56,21.78
108,2020-07-04,52.56,16.34,0.34,49.5
109,2020-07-05,28.86,17.22,0.48,29.23
110,2020-07-06,42.92,0.41,0.48,0.79
111,2020-07-07,38.48,0.41,15.84,50.56
112,2020-07-08,48.84,23.37,0.48,13.43
113,2020-07-09,45.88,7.79,0.48,65.57
114,2020-07-10,42.92,8.2,0.48,13.43
115,2020-07-11,36.26,0.41,0.48,31.6
116,2020-07-12,36.6,8.64,11.18,32.39
117,2020-07-13,21.0,0.36,9.36,13.43
118,2020-07-14,30.6,7.56,0.26,14.22
119,2020-07-15,37.8,0.36,8.58,12.64
120,2020-07-16,43.8,6.84,0.26,26.07
121,2020-07-17,31.8,7.2,0.26,55.3
122,2020-07-18,28.8,0.36,0.26,32.39
123,2020-07-19,29.89,8.05,0.38,37.2
124,2020-07-20,19.52,6.65,0.38,0.62
125,2020-07-21,28.67,6.65,0.38,10.54
126,2020-07-22,43.31,7.0,13.68,21.08
127,2020-07-23,39.04,7.0,13.68,21.7
128,2020-07-24,26.84,0.35,27.36,21.7
129,2020-07-25,28.67,0.35,0.38,12.4
130,2020-07-26,35.38,0.56,0.12,15.99
131,2020-07-27,31.9,21.28,4.2,13.53
